Provincia,Canton,Distrito,Poblacion
San Jose,San Jose,,339581
San Jose,San Jose,Carmen,3070
San Jose,San Jose,Merced,14846
San Jose,San Jose,Hospital,23099
San Jose,San Jose,Catedral,15382
San Jose,San Jose,Zapote,21566
San Jose,San Jose,San Francisco de Dos Rios,23364
San Jose,San Jose,Uruca,40027
San Jose,San Jose,Mata Redonda,9940
San Jose,San Jose,Pavas,85101
San Jose,San Jose,Hatillo,58410
San Jose,San Jose,San Sebastian,44776
San Jose,Escazu,,68050
San Jose,Escazu,Escazu,13580
San Jose,Escazu,San Antonio,26735
San Jose,Escazu,San Rafael,27735
San Jose,Desamparados,,238312
San Jose,Desamparados,Desamparados,36942
San Jose,Desamparados,San Miguel,36652
San Jose,Desamparados,San Juan de Dios,23009
San Jose,Desamparados,San Rafael Arriba,17508
San Jose,Desamparados,San Antonio,10946
San Jose,Desamparados,Frailes,4419
San Jose,Desamparados,Patarra,14035
San Jose,Desamparados,San Cristobal,4576
San Jose,Desamparados,Rosario,3600
San Jose,Desamparados,Damas,14955
San Jose,Desamparados,San Rafael Abajo,26068
San Jose,Desamparados,Gravilias,16685
San Jose,Desamparados,Los Guido,28917
San Jose,Puriscal,,36987
San Jose,Puriscal,Santiago,12311
San Jose,Puriscal,Mercedes Sur,6750
San Jose,Puriscal,Barbacoas,4221
San Jose,Puriscal,Grifo Alto,1410
San Jose,Puriscal,San Rafael,1931
San Jose,Puriscal,Candelaria,1659
San Jose,Puriscal,Desamparaditos,757
San Jose,Puriscal,San Antonio,4452
San Jose,Puriscal,Chires,3496
San Jose,Tarrazu,,18102
San Jose,Tarrazu,San Marcos,10928
San Jose,Tarrazu,San Lorenzo,5085
San Jose,Tarrazu,San Carlos,2089
San Jose,Aserri,,61911
San Jose,Aserri,Aserri,29491
San Jose,Aserri,Tarbaca,1601
San Jose,Aserri,Vuelta de Jorco,7014
San Jose,Aserri,San Gabriel,6594
San Jose,Aserri,Legua,1686
San Jose,Aserri,Monterry,533
San Jose,Aserri,Salitrillos,14992
San Jose,Mora,,29555
San Jose,Mora,Colon,17037
San Jose,Mora,Guayabo,5092
San Jose,Mora,Tabarcia,4864
San Jose,Mora,Piedras Negras,464
San Jose,Mora,Picagres,846
San Jose,Mora,Jaris,1252
San Jose,Goicoechea,,134855
San Jose,Goicoechea,Guadalupe,22542
San Jose,Goicoechea,San Francisco,2339
San Jose,Goicoechea,Calle Blancos,22504
San Jose,Goicoechea,Mata Platano,20262
San Jose,Goicoechea,Ipis,30472
San Jose,Goicoechea,Rancho Redondo,3046
San Jose,Goicoechea,Purral,33690
San Jose,Santa Ana,,58159
San Jose,Santa Ana,Santa Ana,12694
San Jose,Santa Ana,Salitral,5159
San Jose,Santa Ana,Pozos,19183
San Jose,Santa Ana,Uruca,8518
San Jose,Santa Ana,Piedades,9605
San Jose,Santa Ana,Brasil,3000
San Jose,Alajuelita,,90543
San Jose,Alajuelita,Alajuelita,12960
San Jose,Alajuelita,San Josecito,12192
San Jose,Alajuelita,San Antonio,5594
San Jose,Alajuelita,Concepcion,21881
San Jose,Alajuelita,San Felipe,37916
San Jose,Vasquez de Coronado,,69500
San Jose,Vasquez de Coronado,San Isidro,18316
San Jose,Vasquez de Coronado,San Rafael,8161
