,Delito,Ano,Provincia,Canton,Distrito,Count,Poblacion,Crimenes_1000
0,ASALTO,2015,ALAJUELA,ALAJUELA,ALAJUELA,442,47477.0,9.31
1,ASALTO,2015,ALAJUELA,ALAJUELA,CARRIZAL,5,8328.0,0.6
2,ASALTO,2015,ALAJUELA,ALAJUELA,DESAMPARADOS,42,31261.0,1.34
3,ASALTO,2015,ALAJUELA,ALAJUELA,GUACIMA,34,24598.0,1.38
4,ASALTO,2015,ALAJUELA,ALAJUELA,LA GARITA,12,8894.0,1.35
5,ASALTO,2015,ALAJUELA,ALAJUELA,RIO SEGUNDO,43,12698.0,3.39
6,ASALTO,2015,ALAJUELA,ALAJUELA,SABANILLA,12,11389.0,1.05
7,ASALTO,2015,ALAJUELA,ALAJUELA,SAN ANTONIO,62,29462.0,2.1
8,ASALTO,2015,ALAJUELA,ALAJUELA,SAN ISIDRO,27,20929.0,1.29
9,ASALTO,2015,ALAJUELA,ALAJUELA,SAN JOSE,130,49224.0,2.64
10,ASALTO,2015,ALAJUELA,ALAJUELA,SAN RAFAEL,45,31853.0,1.41
11,ASALTO,2015,ALAJUELA,ALAJUELA,TAMBOR,9,13256.0,0.68
12,ASALTO,2015,ALAJUELA,ALAJUELA,TURRUCARES,11,8975.0,1.23
13,ASALTO,2015,ALAJUELA,ATENAS,ATENAS,15,7865.0,1.91
14,ASALTO,2015,ALAJUELA,ATENAS,CONCEPCION,2,4005.0,0.5
15,ASALTO,2015,ALAJUELA,ATENAS,SAN JOSE,1,2193.0,0.46
16,ASALTO,2015,ALAJUELA,GRECIA,GRECIA,51,15947.0,3.2
17,ASALTO,2015,ALAJUELA,GRECIA,PUENTE DE PIEDRA,9,12378.0,0.73
18,ASALTO,2015,ALAJUELA,GRECIA,SAN JOSE,9,9542.0,0.94
19,ASALTO,2015,ALAJUELA,GRECIA,SAN ROQUE,2,12836.0,0.16
20,ASALTO,2015,ALAJUELA,GRECIA,TACARES,8,9378.0,0.85
21,ASALTO,2015,ALAJUELA,GUATUSO,BUENAVISTA,1,1886.0,0.53
22,ASALTO,2015,ALAJUELA,GUATUSO,COTE,2,1061.0,1.89
23,ASALTO,2015,ALAJUELA,GUATUSO,KATIRA,1,6133.0,0.16
24,ASALTO,2015,ALAJUELA,GUATUSO,SAN RAFAEL,6,9461.0,0.63
25,ASALTO,2015,ALAJUELA,LOS CHILES,EL AMPARO,12,7350.0,1.63
26,ASALTO,2015,ALAJUELA,LOS CHILES,LOS CHILES,25,18776.0,1.33
27,ASALTO,2015,ALAJUELA,NARANJO,NARANJO,23,16890.0,1.36
28,ASALTO,2015,ALAJUELA,NARANJO,PALMITOS,4,4743.0,0.84
29,ASALTO,2015,ALAJUELA,NARANJO,ROSARIO,7,4298.0,1.63
30,ASALTO,2015,ALAJUELA,NARANJO,SAN JERONIMO,3,3794.0,0.79
31,ASALTO,2015,ALAJUELA,NARANJO,SAN JOSE,1,3490.0,0.29
32,ASALTO,2015,ALAJUELA,NARANJO,SAN JUAN,1,3476.0,0.29
33,ASALTO,2015,ALAJUELA,NARANJO,SAN MIGUEL,2,5372.0,0.37
34,ASALTO,2015,ALAJUELA,OROTINA,CEIBA,3,2359.0,1.27
35,ASALTO,2015,ALAJUELA,OROTINA,COYOLAR,13,6971.0,1.86
36,ASALTO,2015,ALAJUELA,OROTINA,HACIENDA VIEJA,1,1168.0,0.86
37,ASALTO,2015,ALAJUELA,OROTINA,MASTATE,1,2070.0,0.48
38,ASALTO,2015,ALAJUELA,OROTINA,OROTINA,22,10218.0,2.15
39,ASALTO,2015,ALAJUELA,PALMARES,BUENOS AIRES,5,8467.0,0.59
40,ASALTO,2015,ALAJUELA,PALMARES,CANDELARIA,1,2305.0,0.43
41,ASALTO,2015,ALAJUELA,PALMARES,ESQUIPULAS,1,7842.0,0.13
42,ASALTO,2015,ALAJUELA,PALMARES,GRANJA,1,4659.0,0.21
43,ASALTO,2015,ALAJUELA,PALMARES,PALMARES,18,3750.0,4.8
44,ASALTO,2015,ALAJUELA,PALMARES,SANTIAGO,1,3176.0,0.31
45,ASALTO,2015,ALAJUELA,PALMARES,ZARAGOZA,13,9326.0,1.39
46,ASALTO,2015,ALAJUELA,POAS,CARRILLOS,3,10413.0,0.29
47,ASALTO,2015,ALAJUELA,POAS,SABANA REDONDA,4,2787.0,1.44
48,ASALTO,2015,ALAJUELA,POAS,SAN JUAN,8,5238.0,1.53
49,ASALTO,2015,ALAJUELA,POAS,SAN PEDRO,8,7980.0,1.0
50,ASALTO,2015,ALAJUELA,POAS,SAN RAFAEL,6,6165.0,0.97
51,ASALTO,2015,ALAJUELA,RIO CUARTO,RIO CUARTO,3,14814.0,0.2
52,ASALTO,2015,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,27,23989.0,1.13
53,ASALTO,2015,ALAJUELA,SAN CARLOS,CUTRIS,16,13843.0,1.16
54,ASALTO,2015,ALAJUELA,SAN CARLOS,FLORENCIA,30,17365.0,1.73
55,ASALTO,2015,ALAJUELA,SAN CARLOS,FORTUNA,25,18119.0,1.38
56,ASALTO,2015,ALAJUELA,SAN CARLOS,MONTERREY,2,4063.0,0.49
